field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
12,mean,cka,mpnet,abstract,0.4420086196371394,0.03826367313412282,0.40374494650301657
12,mean,cka,minilm,title,0.44070971499489414,0.33702103926770965,0.10368867572718449
12,mean,cka,minilm,abstract,0.44070971499489414,0.04416779653002256,0.3965419184648716
12,mean,cka,pubmedbert,title,0.45015338643938335,0.6722232683812958,-0.2220698819419124
12,mean,cka,pubmedbert,abstract,0.45015338643938335,0.027988767241613588,0.42216461919776976
12,mean,cka,biobert,title,0.4317078641515458,0.730776973899399,-0.2990691097478532
12,mean,cka,biobert,abstract,0.4317078641515458,0.024346758528656864,0.4073611056228889
12,mean,cka,simcse,title,0.42284986626862214,0.599929682707019,-0.17707981643839682
12,mean,cka,simcse,abstract,0.42284986626862214,0.026761047803393945,0.3960888184652282
12,mean,neighbors10,specter,title,0.8043555555555555,0.8008,0.003555555555555534
12,mean,neighbors10,specter,abstract,0.8043555555555555,0.43520000000000003,0.36915555555555546
12,mean,neighbors10,specter2,title,0.8012,0.7584,0.04280000000000006
12,mean,neighbors10,specter2,abstract,0.8012,0.48560000000000003,0.3156
12,mean,neighbors10,scincl,title,0.7889111111111111,0.7972,-0.008288888888888901
12,mean,neighbors10,scincl,abstract,0.7889111111111111,0.3328,0.45611111111111113
12,mean,neighbors10,scibert,title,0.7433555555555555,0.9163,-0.17294444444444446
12,mean,neighbors10,scibert,abstract,0.7433555555555555,0.19789999999999996,0.5454555555555556
12,mean,neighbors10,bert,title,0.7303,0.8549,-0.12460000000000004
12,mean,neighbors10,bert,abstract,0.7303,0.17379999999999995,0.5565
12,mean,neighbors10,mpnet,title,0.7584222222222222,0.6515,0.10692222222222225
12,mean,neighbors10,mpnet,abstract,0.7584222222222222,0.255,0.5034222222222222
12,mean,neighbors10,minilm,title,0.7571888888888889,0.7037,0.05348888888888892
12,mean,neighbors10,minilm,abstract,0.7571888888888889,0.2773,0.4798888888888889
12,mean,neighbors10,pubmedbert,title,0.7484111111111111,0.9117999999999999,-0.1633888888888888
12,mean,neighbors10,pubmedbert,abstract,0.7484111111111111,0.21120000000000005,0.5372111111111111
12,mean,neighbors10,biobert,title,0.7398111111111112,0.9105,-0.17068888888888878
12,mean,neighbors10,biobert,abstract,0.7398111111111112,0.2249,0.5149111111111112
12,mean,neighbors10,simcse,title,0.7662888888888888,0.864,-0.09771111111111119
12,mean,neighbors10,simcse,abstract,0.7662888888888888,0.23719999999999997,0.5290888888888888
12,mean,neighbors25,specter,title,0.7545733333333333,0.73964,0.014933333333333354
12,mean,neighbors25,specter,abstract,0.7545733333333333,0.37076,0.38381333333333334
12,mean,neighbors25,specter2,title,0.7543733333333333,0.7014400000000001,0.05293333333333328
12,mean,neighbors25,specter2,abstract,0.7543733333333333,0.43372,0.32065333333333335
12,mean,neighbors25,scincl,title,0.7377466666666668,0.75336,-0.015613333333333257
12,mean,neighbors25,scincl,abstract,0.7377466666666668,0.28171999999999997,0.4560266666666668
12,mean,neighbors25,scibert,title,0.68844,0.87128,-0.18284
12,mean,neighbors25,scibert,abstract,0.68844,0.16792000000000007,0.52052
12,mean,neighbors25,bert,title,0.6746266666666666,0.79776,-0.12313333333333343
12,mean,neighbors25,bert,abstract,0.6746266666666666,0.14288,0.5317466666666666
12,mean,neighbors25,mpnet,title,0.7064577777777779,0.5951599999999999,0.11129777777777794
12,mean,neighbors25,mpnet,abstract,0.7064577777777779,0.2138,0.49265777777777786
12,mean,neighbors25,minilm,title,0.7051244444444444,0.65596,0.049164444444444455
12,mean,neighbors25,minilm,abstract,0.7051244444444444,0.238,0.46712444444444445
12,mean,neighbors25,pubmedbert,title,0.695231111111111,0.86952,-0.17428888888888894
12,mean,neighbors25,pubmedbert,abstract,0.695231111111111,0.17855999999999994,0.5166711111111111
12,mean,neighbors25,biobert,title,0.6846933333333333,0.86304,-0.17834666666666676
12,mean,neighbors25,biobert,abstract,0.6846933333333333,0.18656000000000006,0.4981333333333332
12,mean,neighbors25,simcse,title,0.7114444444444445,0.81368,-0.10223555555555541
12,mean,neighbors25,simcse,abstract,0.7114444444444445,0.19924000000000008,0.5122044444444445
12,mean,neighbors50,specter,title,0.7066866666666667,0.6763,0.030386666666666673
12,mean,neighbors50,specter,abstract,0.7066866666666667,0.32404,0.3826466666666667
12,mean,neighbors50,specter2,title,0.7059133333333334,0.6441399999999999,0.06177333333333346
12,mean,neighbors50,specter2,abstract,0.7059133333333334,0.38456,0.3213533333333334
12,mean,neighbors50,scincl,title,0.6880777777777778,0.6969799999999999,-0.008902222222222145
12,mean,neighbors50,scincl,abstract,0.6880777777777778,0.2389,0.4491777777777778
12,mean,neighbors50,scibert,title,0.6400466666666667,0.82284,-0.18279333333333336
12,mean,neighbors50,scibert,abstract,0.6400466666666667,0.1442,0.49584666666666666
12,mean,neighbors50,bert,title,0.6258133333333333,0.74332,-0.11750666666666665
12,mean,neighbors50,bert,abstract,0.6258133333333333,0.12222,0.5035933333333333
12,mean,neighbors50,mpnet,title,0.6583666666666667,0.5464800000000001,0.11188666666666658
12,mean,neighbors50,mpnet,abstract,0.6583666666666667,0.1904,0.46796666666666664
12,mean,neighbors50,minilm,title,0.6562644444444445,0.5985,0.05776444444444451
12,mean,neighbors50,minilm,abstract,0.6562644444444445,0.2121200000000001,0.44414444444444445
12,mean,neighbors50,pubmedbert,title,0.6451755555555556,0.8161,-0.17092444444444443
12,mean,neighbors50,pubmedbert,abstract,0.6451755555555556,0.15335999999999994,0.4918155555555557
12,mean,neighbors50,biobert,title,0.63462,0.81774,-0.18312000000000006
12,mean,neighbors50,biobert,abstract,0.63462,0.15610000000000002,0.47851999999999995
12,mean,neighbors50,simcse,title,0.6649644444444446,0.76502,-0.10005555555555545
12,mean,neighbors50,simcse,abstract,0.6649644444444446,0.17193999999999998,0.4930244444444446
12,cls,cka,specter,title,0.5028011317695235,0.35663234893841966,0.1461687828311038
