sep: Field 14, 2000, n=2,166, 1.4s
sep: Field 14, 2005, n=2,166, 1.4s
sep: Field 14, 2010, n=2,186, 1.4s
sep: Field 14, 2015, n=2,660, 1.5s
sep: Field 14, 2020, n=4,040, 1.7s
sep: Field 15, 2000, n=2,166, 1.4s
sep: Field 15, 2005, n=2,166, 1.4s
sep: Field 15, 2010, n=2,166, 1.4s
sep: Field 15, 2015, n=2,166, 1.5s
sep: Field 15, 2020, n=2,166, 1.5s
sep: Field 16, 2000, n=2,166, 1.5s
sep: Field 16, 2005, n=2,166, 1.4s
sep: Field 16, 2010, n=2,166, 1.4s
sep: Field 16, 2015, n=2,166, 1.6s
sep: Field 16, 2020, n=2,166, 1.4s
sep: Field 17, 2000, n=3,310, 1.8s
sep: Field 17, 2005, n=5,594, 2.1s
sep: Field 17, 2010, n=7,094, 2.4s
sep: Field 17, 2015, n=6,858, 2.4s
sep: Field 17, 2020, n=9,972, 3.1s
sep: Field 18, 2000, n=2,166, 1.6s
sep: Field 18, 2005, n=2,166, 1.6s
sep: Field 18, 2010, n=2,166, 1.6s
sep: Field 18, 2015, n=2,166, 1.5s
sep: Field 18, 2020, n=2,166, 1.7s
sep: Field 19, 2000, n=2,166, 1.5s
sep: Field 19, 2005, n=2,166, 1.5s
sep: Field 19, 2010, n=2,166, 1.6s
sep: Field 19, 2015, n=2,166, 1.6s
sep: Field 19, 2020, n=2,166, 1.6s
sep: Field 20, 2000, n=2,166, 1.5s
sep: Field 20, 2005, n=2,166, 1.5s
sep: Field 20, 2010, n=2,166, 1.6s
sep: Field 20, 2015, n=2,166, 1.6s
sep: Field 20, 2020, n=2,845, 1.8s
sep: Field 21, 2000, n=2,166, 1.6s
sep: Field 21, 2005, n=2,166, 1.7s
sep: Field 21, 2010, n=2,166, 1.6s
sep: Field 21, 2015, n=2,166, 1.7s
sep: Field 21, 2020, n=2,166, 1.6s
sep: Field 22, 2000, n=6,990, 2.4s
sep: Field 22, 2005, n=11,310, 3.9s
sep: Field 22, 2010, n=15,203, 7.5s
sep: Field 22, 2015, n=14,738, 4.8s
sep: Field 22, 2020, n=18,907, 7.5s
sep: Field 23, 2000, n=2,166, 1.9s
sep: Field 23, 2005, n=2,876, 2.6s
sep: Field 23, 2010, n=4,005, 2.2s
sep: Field 23, 2015, n=4,018, 2.6s
sep: Field 23, 2020, n=5,919, 3.3s
sep: Field 24, 2000, n=2,166, 1.9s
sep: Field 24, 2005, n=2,166, 1.8s
sep: Field 24, 2010, n=2,166, 2.2s
sep: Field 24, 2015, n=2,166, 1.9s
sep: Field 24, 2020, n=2,166, 1.8s
sep: Field 25, 2000, n=2,166, 1.9s
sep: Field 25, 2005, n=2,166, 2.1s
sep: Field 25, 2010, n=2,962, 1.9s
sep: Field 25, 2015, n=3,152, 2.2s
sep: Field 25, 2020, n=3,787, 2.5s
sep: Field 26, 2000, n=2,166, 2.2s
